midx,title
0,#na#
1,"'burbs, The (1989)"
2,(500) Days of Summer (2009)
3,*batteries not included (1987)
4,...And Justice for All (1979)
5,10 Cloverfield Lane (2016)
6,10 Things I Hate About You (1999)
7,"10,000 BC (2008)"
8,101 Dalmatians (1996)
9,101 Dalmatians (One Hundred and One Dalmatians) (1961)
10,102 Dalmatians (2000)
11,12 Angry Men (1957)
12,12 Years a Slave (2013)
13,127 Hours (2010)
14,13 Assassins (Jûsan-nin no shikaku) (2010)
15,13 Going on 30 (2004)
16,"13th Warrior, The (1999)"
17,1408 (2007)
18,15 Minutes (2001)
19,16 Blocks (2006)
20,17 Again (2009)
21,1984 (Nineteen Eighty-Four) (1984)
22,2 Days in the Valley (1996)
23,"2 Fast 2 Furious (Fast and the Furious 2, The) (2003)"
24,2 Guns (2013)
25,"20,000 Leagues Under the Sea (1954)"
26,200 Cigarettes (1999)
27,2001: A Space Odyssey (1968)
28,2010: The Year We Make Contact (1984)
29,2012 (2009)
30,2046 (2004)
31,21 (2008)
32,21 Grams (2003)
33,21 Jump Street (2012)
34,22 Jump Street (2014)
35,24 Hour Party People (2002)
36,25th Hour (2002)
37,27 Dresses (2008)
38,28 Days (2000)
39,28 Days Later (2002)
40,28 Weeks Later (2007)
41,3 Idiots (2009)
42,3 Ninjas (1992)
43,3-Iron (Bin-jip) (2004)
44,30 Days of Night (2007)
45,300 (2007)
46,3000 Miles to Graceland (2001)
47,300: Rise of an Empire (2014)
48,"39 Steps, The (1935)"
49,3:10 to Yuma (2007)
50,"4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile) (2007)"
51,40 Days and 40 Nights (2002)
52,"40-Year-Old Virgin, The (2005)"
53,"400 Blows, The (Les quatre cents coups) (1959)"
54,42 Up (1998)
55,47 Ronin (2013)
56,48 Hrs. (1982)
57,5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007)
58,50 First Dates (2004)
59,50/50 (2011)
60,54 (1998)
61,"6th Day, The (2000)"
62,"7th Voyage of Sinbad, The (1958)"
63,8 1/2 (8½) (1963)
64,8 Heads in a Duffel Bag (1997)
65,8 Mile (2002)
66,8 Women (2002)
67,88 Minutes (2008)
68,8MM (1999)
69,9 (2009)
70,9 1/2 Weeks (Nine 1/2 Weeks) (1986)
71,A Million Ways to Die in the West (2014)
72,A Quiet Place (2018)
73,A Star Is Born (2018)
74,"A-Team, The (2010)"
75,A.I. Artificial Intelligence (2001)
76,AVP: Alien vs. Predator (2004)
77,AVPR: Aliens vs. Predator - Requiem (2007)
78,Abbott and Costello Meet Frankenstein (1948)
79,About Last Night... (1986)
80,About Schmidt (2002)
81,About Time (2013)
82,About a Boy (2002)
83,Abraham Lincoln: Vampire Hunter (2012)
84,"Absent-Minded Professor, The (1961)"
85,Absolute Power (1997)
86,"Abyss, The (1989)"
87,Accepted (2006)
88,"Accidental Tourist, The (1988)"
89,"Accused, The (1988)"
90,Ace Ventura: Pet Detective (1994)
91,Ace Ventura: When Nature Calls (1995)
92,Across the Universe (2007)
93,Adam's Apples (Adams æbler) (2005)
94,Adam's Rib (1949)
95,Adaptation (2002)
96,Addams Family Values (1993)
97,"Addams Family, The (1991)"
98,Addicted to Love (1997)
99,"Adjustment Bureau, The (2011)"
100,Adventureland (2009)
101,Adventures in Babysitting (1987)
102,"Adventures of Baron Munchausen, The (1988)"
103,"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)"
104,"Adventures of Milo and Otis, The (Koneko monogatari) (1986)"
105,"Adventures of Pinocchio, The (1996)"
106,"Adventures of Priscilla, Queen of the Desert, The (1994)"
107,"Adventures of Robin Hood, The (1938)"
108,"Adventures of Rocky and Bullwinkle, The (2000)"
109,"Adventures of Tintin, The (2011)"
110,Aeon Flux (2005)
111,"Affair to Remember, An (1957)"
112,Affliction (1997)
113,"African Queen, The (1951)"
114,After Earth (2013)
115,After Hours (1985)
116,After the Sunset (2004)
117,"Age of Innocence, The (1993)"
118,Agent Cody Banks (2003)
119,Agnes of God (1985)
120,"Aguirre: The Wrath of God (Aguirre, der Zorn Gottes) (1972)"
121,Air America (1990)
122,Air Bud (1997)
123,Air Force One (1997)
124,"Air Up There, The (1994)"
125,Airheads (1994)
126,Airplane II: The Sequel (1982)
127,Airplane! (1980)
128,Airport (1970)
129,Akeelah and the Bee (2006)
130,Akira (1988)
131,Aladdin (1992)
132,Alexander (2004)
133,Alfie (2004)
134,Ali (2001)
135,Alice Through the Looking Glass (2016)
136,Alice in Wonderland (1951)
137,Alice in Wonderland (2010)
138,Alien (1979)
139,Alien Nation (1988)
140,Alien: Covenant (2017)
141,Alien: Resurrection (1997)
142,Aliens (1986)
143,Alien³ (a.k.a. Alien 3) (1992)
144,Alive (1993)
145,All About Eve (1950)
146,All About My Mother (Todo sobre mi madre) (1999)
147,All Dogs Go to Heaven (1989)
148,All Dogs Go to Heaven 2 (1996)
149,All Quiet on the Western Front (1930)
150,All That Jazz (1979)
151,All of Me (1984)
152,All the King's Men (1949)
153,All the President's Men (1976)
154,All the Pretty Horses (2000)
155,Allan Quatermain and the Lost City of Gold (1987)
156,Allegiant: Part 1 (2016)
157,Almost Famous (2000)
158,Along Came Polly (2004)
159,Along Came a Spider (2001)
160,Alpha Dog (2007)
161,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)"
162,Altered States (1980)
163,Alvin and the Chipmunks (2007)
164,Always (1989)
165,Amadeus (1984)
166,Amarcord (1973)
167,Amateur (1994)
168,"Amazing Spider-Man, The (2012)"
169,Amazon Women on the Moon (1987)
170,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"
171,America's Sweethearts (2001)
172,American Beauty (1999)
173,American Gangster (2007)
174,American Gigolo (1980)
175,American Graffiti (1973)
176,American History X (1998)
177,American Hustle (2013)
178,American Made (2017)
179,American Movie (1999)
180,American Pie (1999)
181,American Pie 2 (2001)
182,"American President, The (1995)"
183,American Psycho (2000)
184,American Reunion (American Pie 4) (2012)
185,American Sniper (2014)
186,American Splendor (2003)
187,"American Tail, An (1986)"
188,"American Tail: Fievel Goes West, An (1991)"
189,American Wedding (American Pie 3) (2003)
190,"American Werewolf in London, An (1981)"
191,"American Werewolf in Paris, An (1997)"
192,"American in Paris, An (1951)"
193,"American, The (2010)"
194,Amistad (1997)
195,"Amityville Horror, The (1979)"
196,"Amityville Horror, The (2005)"
197,Amores Perros (Love's a Bitch) (2000)
198,Amour (2012)
199,Anaconda (1997)
200,Analyze That (2002)
201,Analyze This (1999)
202,Anastasia (1997)
203,Anatomy of a Murder (1959)
204,Anchorman 2: The Legend Continues (2013)
205,Anchorman: The Legend of Ron Burgundy (2004)
206,And Your Mother Too (Y tu mamá también) (2001)
207,And the Band Played On (1993)
208,"Andalusian Dog, An (Chien andalou, Un) (1929)"
209,Andrei Rublev (Andrey Rublyov) (1969)
210,"Andromeda Strain, The (1971)"
211,Angel Eyes (2001)
212,Angel Heart (1987)
213,Angela's Ashes (1999)
214,Angels & Demons (2009)
215,Angels and Insects (1995)
216,Angels in the Outfield (1994)
217,Anger Management (2003)
218,Angus (1995)
219,Animal Crackers (1930)
220,Animal House (1978)
221,"Animal, The (2001)"
222,"Animatrix, The (2003)"
223,Anna and the King (1999)
224,Anne Frank Remembered (1995)
225,Annie (1982)
226,Annie Hall (1977)
227,Annihilation (2018)
228,"Anniversary Party, The (2001)"
229,Another 48 Hrs. (1990)
230,Another Earth (2011)
231,Another Stakeout (1993)
232,Ant-Man (2015)
233,Ant-Man and the Wasp (2018)
234,Antichrist (2009)
235,Antitrust (2001)
236,Antonia's Line (Antonia) (1995)
237,Antwone Fisher (2002)
238,Antz (1998)
239,Any Given Sunday (1999)
240,Anywhere But Here (1999)
241,"Apartment, The (1960)"
242,Apocalypse Now (1979)
243,Apocalypto (2006)
244,Apollo 13 (1995)
245,"Apostle, The (1997)"
246,"Apple Dumpling Gang, The (1975)"
